panel_name;panel_session;panel_speakers
Science Policy & Communication;day1a;Sandra Aamodt, Ben Rubin, Katja Brose,Silvia Bunge
Science Policy & Communication;day1b;Sandra Aamodt, Ben Rubin, Katja Brose,Michael Ranney
Entrepreneurs;day1a;Jailza Pauly,Elizabeth Iorns, Keaton Swett, Vivienne Ming, Elizabeth Stone
Consulting;day1a;Craig Brozinsky, Albert Lang, Nick Halpern-Manners, Laura Elias, Jake Dunagan
Consulting;day1b;Craig Brozinsky, Albert Lang, Nick Halpern-Manners, Elizabeth Stone
Non-Academic Research;day1b;Marty Nemko, Joe Hardy, Jodi Davenport, Cynthia D’Angelo, Michael Merzenich, Zoë Harris, Patty Culp
Tech;day1a;Jake Klamka, Rehan Khan,Flavio Oliveira,Jacob Bollinger,Maria Stone, Arnold Lund
Tech;day1b;Bradley Voytek, Jacob Bollinger,Maria Stone, Arnold Lund, Emi Nomura
